"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction","asynchronyBetween_region","asynchronyBetween_farm","asynchronyWithin","areaHarvested","diversity"
3,1998,444,7,1,6,15.1623698003877,0.461065362173481,0.479329532877031,0.804765149556502,160344.67,4.90319955019466
3,2008,436,7,1,6,19.7937349969863,0.717354628516342,0.542899661376084,0.815219531289998,217114.46,5.53770786417407
53,1998,32,4,1,4,15.6096086731314,0.459263983378954,0.502984633042657,0.695665338061754,12882.23,2.81412305383885
53,2008,42,6,1,4,13.7753929255209,0.517126392140768,0.533099282814701,0.6536071897805,26167.96,2.99567565212337
81,1998,182,8,1,5,13.3541879632526,0.338701544971242,0.496134760700365,0.831849730774212,39667.3736,3.64747549921525
81,2008,290,8,1,5,20.6196788258565,0.75282317484095,0.540281830470901,0.84392717999407,76585.7106,3.87912383687312
51,1998,54,6,1,4,18.1585905172612,0.570757545939033,0.446578644232349,0.805832609012487,9171.36,4.06157707058119
51,2008,59,6,1,5,17.0847070312658,0.664077349367103,0.512152079141834,0.831311750118351,15650.65,4.25541214960685
146,1998,45,7,1,6,6.96514772079756,0.253253773184044,0.423899735347295,0.533182127734303,89780.628,4.49245986639085
146,2008,50,8,1,5,11.6153041218211,0.595854003670264,0.592446814039354,0.635536505720553,88585.5092,4.03483346788592
57,1998,119,7,1,5,23.0416766984841,0.5288481673064,0.621235215326681,0.890485640468115,46312.23,4.10647379322784
57,2008,140,7,1,5,18.319522171924,0.75715397964817,0.604301105120737,0.781482635225035,61736.9784,4.24677615478865
66,1998,172,7,1,5,21.0263878264644,0.458064543705203,0.550561269883123,0.902608951893834,40626.81,3.45988157068372
66,2008,44,5,1,5,12.3819232466654,0.470296029996071,0.559619238089581,0.682539039530138,18861.64,3.11014115427714
59,1998,33,7,1,4,29.2484939464268,0.743067237773227,0.558304447123283,0.856140115632275,6910,3.51556211002955
59,2008,50,7,1,4,19.1299898778542,0.673740470648754,0.62624585202346,0.837231656119009,16988.6,4.02563007771344
65,1998,74,7,1,5,16.4007890609678,0.294918078963879,0.512329175643083,0.863220741311647,21263.24,3.45251331371288
65,2008,3,4,3,4,8.58374950078307,0.803176170776191,0.787617451752857,0.215906136767946,3859.47,3.35309589379679
95,1998,172,7,1,5,9.14055278002555,0.206233345141249,0.384570276269753,0.73935199636615,28322.1532,3.16692359106881
95,2008,156,7,1,5,18.0057841581056,0.606978032914222,0.497657116178263,0.858153115651757,36504.09,3.65821959494389
84,1998,59,6,1,4,25.3876554320242,0.380269164744537,0.42179583560679,0.934040256080937,9607.0119,2.63734672788437
84,2008,85,7,1,4,22.652042506389,0.457400641144467,0.487294351337378,0.898452237815694,21797.1599,2.88658411275381
1,1998,160,7,1,5,20.4051907351119,0.693023074677649,0.572269433409766,0.831232132816424,79392.73,3.22872557948937
1,2008,118,7,1,4,9.36637207235628,0.468163167371418,0.507500103093288,0.694382408001418,76688.56,3.34585392590459
92,1998,144,7,1,5,17.8993383812904,0.482728426925652,0.529709933100725,0.840725333265956,26436.01,4.24624345289337
92,2008,143,7,1,5,22.7122946476666,0.606914314369883,0.538701613254782,0.897598757722749,36378.29,4.16451353091009
15,1998,50,9,1,7,10.3331246762899,0.307635517437699,0.502882408355793,0.648188067364109,318896.35,4.39584441233412
15,2008,150,8,1,6,9.15433163372727,0.333697879759628,0.522508570257504,0.648844074687323,512698.3932,4.47131785294738
64,1998,92,7,1,5,17.6680920737892,0.437500805550474,0.559393085753975,0.842224506860131,28581.24,4.25924977735176
64,2008,14,4,2,4,17.0676307722593,0.615437249105081,0.614390639201939,0.686016825282174,9003.87,3.1284165936068
13,1998,64,6,1,6,17.0620573178196,0.508679927861317,0.623307627043495,0.795455293065668,176516.8987,3.73843125897315
13,2008,93,7,1,7,8.01263895393238,0.224182021521632,0.486156573135607,0.625102149660375,303798.8477,3.52962789410059
55,1998,141,7,1,4,27.4115432327579,0.680879707250456,0.4509328546334,0.922172756064855,32112.01,3.37072013209736
55,2008,161,7,1,4,15.8105849143042,0.425473709204118,0.471663695850642,0.878673651900075,46956.55,3.51716281565984
147,1998,30,6,1,6,7.3486520280304,0.339369493777094,0.529421799404755,0.592377670436333,39321.3443,3.89512004817326
147,2008,31,6,1,5,9.90021898800299,0.42707726922608,0.506214360123469,0.598316096176626,73224.6463,4.19401158550692
7,1998,174,8,1,5,17.5028715123804,0.565590054840376,0.516269551212209,0.85835737716532,59669.07,4.0284424610813
7,2008,241,7,1,5,15.4258933156442,0.655396560104316,0.525321035419214,0.806687428867147,125839.36,4.26054024394213
96,1998,118,8,1,5,10.5175335509514,0.318428127398689,0.517297862770616,0.769554220913757,29748.44,4.07791398974
96,2008,114,8,1,6,11.6437260177056,0.573232233398388,0.526213647261902,0.707889224516994,43597.58,3.70926996894866
16,1998,72,7,1,5,10.4087167313165,0.366677778095003,0.529414061251143,0.68397123727063,175061.8858,3.43430274221028
16,2008,73,6,1,5,11.6671420714851,0.258995377777207,0.488774882086202,0.711940460378526,246230.0186,3.33743968036756
93,1998,83,7,1,5,17.9359527442535,0.580894419807805,0.42755165152404,0.801425726842229,14912.6044,4.03122311458948
93,2008,168,8,1,5,26.3117787670507,0.695490904296546,0.480329483657221,0.887420229489308,37837.99,3.81909687500668
94,1998,163,6,1,5,14.3875468086319,0.282029774920935,0.33888758890893,0.897810910699319,25474.24,2.49558051576532
94,2008,130,6,1,4,19.1493644036188,0.3822447134859,0.437265304362943,0.908369355852359,31948.63,2.85082357063622
12,1998,78,9,1,6,5.32090140079158,0.301901324246122,0.417594827481938,0.555169860411879,180776.65,4.68963475776415
12,2008,105,9,1,8,7.58583884151421,0.546313051305789,0.498734846302854,0.581312407619842,264652.38,4.92767269518193
145,1998,45,6,1,5,11.1860318394273,0.256032215654186,0.510212498262948,0.802072343965405,37119.698,3.1867364610738
145,2008,36,7,1,5,18.5008402809551,0.720440526619737,0.66408528362261,0.761693687605563,43626.4913,3.38453397481679
97,1998,91,8,1,4,12.3854432567677,0.310968166780847,0.478412669885834,0.800069708848265,18938.9766,3.58674668631601
97,2008,34,7,1,4,17.3186899952299,0.654674937805434,0.531937718521484,0.734696114368574,9898.68,3.47566003307641
82,1998,57,8,1,5,13.0909101197355,0.451776810042244,0.554875440503254,0.767869581814204,21899.1708,4.45378989125799
82,2008,52,8,1,5,16.3156060120032,0.577017328798798,0.580513619885336,0.828234225911199,23868.9692,4.44278128359652
91,1998,97,7,1,5,13.735021136828,0.491439131119971,0.537831909262614,0.745020319232888,25720.99,4.45990669970442
91,2008,117,7,1,5,16.6637520721841,0.54141105634455,0.52928353309271,0.827833331222428,39462.5532,4.43948448215846
10,1998,51,5,1,4,9.44487416010058,0.321166772382684,0.44518293904593,0.770268629973154,19645.3654,3.44955532798066
10,2008,57,5,1,5,14.9703267810756,0.390661233804695,0.493593229173705,0.886878648891787,27966.4347,3.29313584961515
83,1998,23,8,1,4,12.7942798693573,0.629749656142416,0.364962281344035,0.663524166542975,3908.2917,4.12226168332468
83,2008,16,6,1,4,8.9475816106642,0.631977730736308,0.444135273987803,0.406913099933457,6303.44,3.0786551205969
